Id,CurrentAge,LotArea,PorchArea,TotalBaths,OverallQual,OverallCond,GrLivArea,SaleType,SaleCondition,MSZoning,Story,StoryFinish,SalePrice,TotRmsAbvGrd
1,7,8450,61,3,7,5,1710,WD,Normal,RL,two,finished,208500,8
2,34,9600,0,2,6,8,1262,WD,Normal,RL,one,finished,181500,6
3,8,11250,42,3,7,5,1786,WD,Normal,RL,two,finished,223500,6
5,10,14260,84,3,8,5,2198,WD,Normal,RL,two,finished,250000,9
6,15,14115,350,2,5,5,1362,WD,Normal,RL,one_and_half,finished,143000,5
7,5,10084,57,2,8,5,1694,WD,Normal,RL,one,finished,307000,7
8,37,10382,432,3,7,6,2090,WD,Normal,RL,two,finished,200000,7
10,60,7420,4,1,5,6,1077,WD,Normal,RL,one_and_half,unfinished,118000,5
11,45,11200,0,1,5,5,1040,WD,Normal,RL,one,finished,129500,5
12,4,11924,21,3,9,5,2324,New,Partial,RL,two,finished,345000,11
13,48,12968,176,1,5,6,912,WD,Normal,RL,one,finished,144000,4
14,3,10652,33,2,7,5,1494,New,Partial,RL,one,finished,279500,7
15,50,10920,389,2,6,5,1253,WD,Normal,RL,one,finished,157000,5
16,9,6120,112,1,7,8,854,WD,Normal,RM,one_and_half,unfinished,132000,5
17,40,11241,0,1,6,7,1004,WD,Normal,RL,one,finished,149000,5
18,43,10791,0,2,4,5,1296,WD,Normal,RL,one,finished,90000,6
19,6,13695,102,2,5,5,1114,WD,Normal,RL,one,finished,159000,6
21,4,14215,154,4,8,5,2376,New,Partial,RL,two,finished,325300,9
22,60,7449,205,1,7,7,1108,WD,Normal,RM,one_and_half,unfinished,139400,6
23,8,9742,159,2,8,5,1795,WD,Normal,RL,one,finished,230000,7
24,34,4224,110,1,5,7,1060,WD,Normal,RM,one,finished,129900,6
25,9,8246,90,1,5,8,1060,WD,Normal,RL,one,finished,154000,6
26,3,14230,56,2,8,5,1600,WD,Normal,RL,one,finished,256300,7
27,10,7200,32,1,5,7,900,WD,Normal,RL,one,finished,134800,5
28,2,11478,50,2,8,5,1704,WD,Normal,RL,one,finished,306000,7
29,13,16321,258,1,5,6,1600,WD,Normal,RL,one,finished,207500,6
30,60,6324,87,1,4,6,520,WD,Normal,RM,one,finished,68500,4
32,4,8544,65,2,5,6,1228,WD,Normal,RL,one,finished,149350,6
33,3,11049,30,2,8,5,1234,WD,Normal,RL,one,finished,179900,7
34,51,10552,38,2,5,5,1700,WD,Normal,RL,one,finished,165500,6
35,5,7313,47,2,9,5,1561,WD,Normal,RL,one,finished,277500,6
36,5,13418,32,4,8,5,2452,WD,Normal,RL,two,finished,309000,9
37,15,10859,64,2,5,5,1097,WD,Normal,RL,one,finished,145000,6
38,20,8532,0,1,5,6,1297,WD,Normal,RL,one,finished,153000,5
42,51,16905,104,2,5,6,1328,WD,Normal,RL,one,finished,170000,5
43,27,9180,0,1,5,7,884,WD,Normal,RL,split,finished,144000,5
44,30,9200,0,1,5,6,938,WD,Normal,RL,one,finished,130250,5
45,51,7945,0,1,5,6,1150,WD,Normal,RL,one,finished,141000,6
46,5,7658,82,2,9,5,1752,WD,Normal,RL,one,finished,319900,6
49,2,4456,102,2,4,5,1452,New,Partial,RM,two,finished,113000,8
50,44,7742,0,1,5,7,955,WD,Normal,RL,one,finished,127000,6
51,13,13869,75,2,6,6,1470,WD,Normal,RL,two,finished,177000,6
52,60,6240,0,1,6,6,1176,WD,Normal,RM,one_and_half,finished,114500,6
53,47,8472,0,1,5,5,816,WD,Normal,RM,one,finished,110000,5
54,23,50271,72,1,9,5,1842,WD,Normal,RL,one,finished,385000,5
55,55,7134,50,1,5,5,1360,WD,Normal,RL,split,finished,130000,6
56,46,10175,407,2,6,5,1425,WD,Normal,RL,one,finished,180500,7
58,6,11645,70,3,7,5,1720,WD,Normal,RL,two,finished,196500,7
59,4,13682,37,4,10,5,2945,New,Partial,RL,two,finished,438780,10
60,38,7200,0,1,5,7,780,WD,Normal,RL,one,finished,124900,4
61,6,13072,50,2,6,5,1158,New,Partial,RL,one,finished,158000,5
62,14,7200,144,1,5,7,1111,WD,Normal,RM,two_and_half,unfinished,101000,6
63,4,6442,49,2,8,5,1370,WD,Normal,RL,one,finished,202500,6
64,60,10300,75,2,7,6,1710,WD,Normal,RM,two,finished,140000,9
65,12,9375,36,3,7,5,2034,WD,Normal,RL,two,finished,219500,8
66,5,9591,151,3,8,5,2473,WD,Normal,RL,two,finished,317000,9
67,21,19900,0,2,7,5,2207,WD,Normal,RL,one,finished,180000,7
68,7,10665,29,2,7,5,1479,WD,Normal,RL,one,finished,226000,7
69,60,4608,0,1,4,6,747,WD,Normal,RM,one,finished,80000,4
70,57,15593,135,2,7,4,2287,WD,Normal,RL,one_and_half,finished,225000,7
71,37,13651,0,2,7,6,2223,WD,Normal,RL,one,finished,244000,8
72,4,7599,0,1,4,6,845,WD,Normal,RL,one,finished,129500,4
73,12,10141,385,3,7,5,1718,WD,Normal,RL,two,finished,185000,7
74,7,10200,0,1,5,7,1086,WD,Normal,RL,one,finished,144900,6
75,60,5790,202,2,3,6,1605,WD,Normal,RM,two,finished,107400,8
76,37,1596,101,1,4,5,988,WD,Normal,RM,split,finished,91000,5
77,54,8475,0,1,4,7,952,WD,Normal,RL,one,finished,135750,4
78,9,8635,0,1,5,5,1285,WD,Normal,RM,one_and_half,finished,127000,6
79,42,10778,0,2,4,5,1768,WD,Normal,RL,one,finished,136500,8
80,29,10440,128,2,5,6,1230,WD,Normal,RM,two,finished,110000,5
81,42,13000,324,3,6,6,2142,WD,Normal,RL,two,finished,193500,8
82,12,4500,199,2,6,5,1337,WD,Normal,RM,one,finished,153500,5
83,3,10206,99,2,8,5,1563,WD,Normal,RL,one,finished,245000,6
85,14,8530,72,3,7,5,1474,WD,Normal,RL,split,finished,168500,7
86,18,16059,82,3,8,5,2417,WD,Normal,RL,two,finished,260000,9
87,5,11911,38,3,6,5,1560,WD,Normal,RL,two,finished,174000,6
90,15,8070,0,1,4,5,990,WD,Normal,RL,one,finished,123600,5
91,60,7200,29,1,4,5,1040,WD,Normal,RL,one,finished,109900,4
93,4,13360,44,1,5,7,964,WD,Normal,RL,one,finished,163500,5
95,13,9337,162,3,6,5,1786,WD,Normal,RL,two,finished,204750,7
96,17,9765,63,3,6,8,1470,WD,Normal,RL,two,finished,185000,6
97,11,10264,29,2,7,5,1588,WD,Normal,RL,one,finished,214000,6
98,45,10921,0,1,4,5,960,WD,Normal,RL,one,finished,94750,6
100,51,9320,0,2,4,5,1225,WD,Normal,RL,one,finished,128950,6
101,9,10603,68,2,6,7,1610,WD,Normal,RL,one,finished,205000,6
102,25,9206,46,3,6,5,1732,WD,Normal,RL,two,finished,178000,7
104,1,10402,36,2,7,5,1226,WD,Normal,RL,one,finished,198900,6
105,60,7758,184,2,7,4,1818,WD,Normal,RM,one_and_half,finished,169500,7
107,15,10800,0,1,4,7,1047,WD,Normal,RM,one,finished,100000,6
108,60,6000,0,1,5,5,789,WD,Partial,RM,one,finished,115000,5
109,5,8500,144,2,5,7,1517,WD,Normal,RM,one_and_half,finished,115000,7
111,38,9525,0,2,6,4,1855,WD,Normal,RL,one_and_half,finished,136900,7
112,10,7750,0,3,7,5,1430,WD,Normal,RL,split,finished,180000,7
113,3,9965,352,3,7,5,2696,New,Partial,RL,two,finished,383970,10
115,8,7259,0,3,6,8,2320,WD,Normal,RL,two,finished,259500,9
117,48,11616,164,1,5,5,1092,WD,Normal,RL,one,finished,139000,6
118,3,8536,64,2,5,5,1125,New,Partial,RL,one,finished,155000,5
119,20,12376,0,3,7,5,3222,WD,Normal,RL,two,finished,320000,11
120,4,8461,24,3,6,5,1456,New,Partial,RL,two,finished,163990,8
121,41,21453,260,1,6,5,988,WD,Normal,RL,split,finished,180000,4
122,60,6060,140,1,4,5,1123,WD,Normal,RM,one_and_half,finished,100000,4
123,52,9464,130,1,6,7,1080,WD,Normal,RL,one,finished,136000,5
124,17,7892,63,2,6,5,1199,WD,Normal,RL,one,finished,153900,5
125,12,17043,0,2,6,5,1586,WD,Normal,RL,one,finished,181000,7
126,28,6780,0,1,6,8,754,WD,Normal,RM,one_and_half,finished,84500,5
127,34,4928,205,2,6,5,958,WD,Normal,RL,one,finished,128000,5
128,60,4388,0,1,5,7,840,WD,Normal,RM,one_and_half,unfinished,87000,5
129,44,7590,108,2,6,5,1348,WD,Normal,RL,two,finished,155000,6
131,44,14200,66,3,7,6,2157,WD,Normal,RL,two,finished,226000,8
132,10,12224,48,3,6,5,2054,WD,Normal,RL,two,finished,244000,7
133,8,7388,0,1,5,6,1327,WD,Normal,RL,one,finished,150750,7
134,8,6853,25,2,8,5,1296,WD,Normal,RL,one,finished,220000,6
135,17,10335,276,3,5,6,1721,WD,Normal,RL,one,finished,180000,7
136,40,10400,0,2,7,6,1682,WD,Normal,RL,one,finished,174000,7
137,43,10355,111,2,5,5,1214,WD,Normal,RL,one,finished,143000,5
139,10,9066,106,3,8,5,1852,WD,Normal,RL,two,finished,230000,7
140,13,15426,99,3,6,5,1764,WD,Normal,RL,two,finished,231500,7
142,5,11645,24,2,7,5,1734,WD,Normal,RL,one,finished,260000,7
143,58,8520,0,2,5,4,1385,WD,Normal,RL,one_and_half,finished,166000,6
144,11,10335,29,2,7,5,1501,WD,Normal,RL,one,finished,204000,6
146,4,2522,40,2,6,5,1709,WD,Normal,RM,two,finished,130000,7
147,17,6120,0,1,5,7,875,WD,Normal,RM,one,finished,105000,5
148,9,9505,48,3,7,5,2035,WD,Normal,RL,two,finished,222500,8
149,5,7500,0,1,7,5,1080,WD,Normal,RL,one,finished,141000,6
150,60,6240,114,1,5,4,1344,WD,Normal,RM,one_and_half,finished,115000,7
151,35,10356,0,2,5,6,969,WD,Normal,RL,one,finished,122000,5
152,2,13891,102,2,8,5,1710,New,Partial,RL,one,finished,372402,6
153,39,14803,66,3,6,5,1993,WD,Normal,RL,two,finished,190000,8
154,35,13500,0,1,6,7,1252,WD,Normal,RL,one,finished,235000,4
156,60,9600,136,1,6,5,1096,WD,Normal,RL,one_and_half,finished,79000,5
157,60,7200,0,1,5,7,1040,WD,Normal,RL,one,finished,109500,5
158,0,12003,75,3,8,5,1968,New,Partial,RL,two,finished,269500,8
160,4,19378,300,3,7,5,2462,New,Partial,RL,two,finished,320000,9
161,26,11120,0,2,6,6,1232,WD,Normal,RL,one,finished,162500,6
162,6,13688,0,3,9,5,2668,WD,Normal,RL,two,finished,412500,10
163,5,12182,70,2,7,5,1541,New,Partial,RL,one,finished,220000,7
164,54,5500,0,1,4,6,882,WD,Normal,RL,one_and_half,unfinished,103200,4
165,6,5400,183,2,6,7,1616,WD,Normal,RM,one,finished,152000,5
166,11,10106,0,2,5,7,1355,WD,Normal,RL,one_and_half,finished,127500,6
168,3,10562,120,2,8,5,2161,New,Partial,RL,two,finished,325624,8
169,6,8244,48,3,7,5,1720,WD,Normal,RL,two,finished,183500,7
170,29,16669,64,3,8,6,1707,WD,Normal,RL,one,finished,228000,6
171,60,12358,0,2,5,6,1382,WD,Normal,RM,one_and_half,finished,128500,7
172,50,31770,62,1,6,5,1656,WD,Normal,RL,one,finished,215000,7
173,23,5306,35,2,7,7,1767,WD,Normal,RL,two,finished,239000,5
175,24,12416,0,2,6,5,1651,WD,Normal,RL,one,finished,184000,7
176,9,12615,68,2,6,7,2158,WD,Normal,RL,one,finished,243000,7
177,21,10029,420,3,6,5,2060,WD,Normal,RL,two,finished,211000,8
178,52,13650,0,2,5,5,1920,WD,Normal,RL,one_and_half,finished,172500,8
179,1,17423,60,2,9,5,2234,New,Partial,RL,one,finished,501837,9
180,4,8520,184,1,5,6,968,WD,Normal,RM,one,finished,100000,5
182,60,7588,40,2,7,6,1802,WD,Normal,RL,two,finished,200100,9
183,4,9060,180,1,5,6,1340,WD,Normal,RL,one,finished,120000,7
184,7,11426,238,3,7,5,2082,WD,Normal,RM,one_and_half,finished,200000,6
185,19,7438,0,1,5,8,1252,WD,Normal,RL,one_and_half,finished,127000,5
186,17,22950,670,3,10,9,3608,WD,Normal,RM,two_and_half,finished,475000,12
187,19,9947,27,2,7,5,1217,WD,Normal,RL,split,finished,173000,6
188,23,10410,140,3,5,7,1656,WD,Normal,RL,one_and_half,finished,135000,8
190,8,4923,344,2,8,5,1593,WD,Normal,RL,one,finished,286000,5
191,16,10570,74,3,8,8,2727,WD,Normal,RL,two,finished,315000,10
192,6,7472,32,2,7,9,1479,WD,Normal,RL,two,finished,184000,7
193,11,9017,35,2,7,5,1431,WD,Normal,RL,one,finished,192000,6
194,6,2522,40,2,7,5,1709,WD,Normal,RM,two,finished,130000,7
195,38,7180,0,1,5,7,864,WD,Normal,RL,one,finished,127000,5
196,34,2280,0,3,6,6,1456,WD,Normal,RL,two,finished,148500,7
197,3,9416,404,2,7,5,1726,New,Partial,RL,one,finished,311872,8
200,5,9591,196,2,8,5,1713,WD,Normal,RL,one,finished,274900,7
201,6,8546,64,2,4,5,1121,WD,Normal,RM,one,finished,140000,5
202,33,10125,83,2,6,6,1279,WD,Normal,RL,one,finished,171500,6
204,6,4438,0,1,6,5,848,WD,Normal,RM,one,finished,149000,3
205,60,3500,35,2,5,7,1284,WD,Normal,RM,one_and_half,finished,110000,5
206,20,11851,542,2,7,5,1442,WD,Normal,RL,one,finished,180500,5
207,48,13673,30,2,5,5,1696,WD,Normal,RL,one,finished,143900,8
208,50,12493,0,1,4,5,1100,WD,Normal,RL,one,finished,141000,6
209,21,14364,209,3,7,5,2062,WD,Normal,RL,two,finished,277000,7
210,46,8250,0,1,6,7,1092,WD,Normal,RL,one,finished,145000,6
211,60,5604,96,1,5,6,864,WD,Normal,RL,one,finished,98000,5
212,1,10420,22,2,6,5,1212,WD,Normal,RL,one,finished,186000,6
214,15,13568,0,1,5,5,990,WD,Normal,RL,one,finished,156000,5
215,33,10900,36,2,6,7,1392,WD,Normal,RL,two,finished,161750,6
216,14,10011,0,1,5,6,1236,WD,Normal,RL,one,finished,134450,6
217,6,8450,98,2,7,5,1436,WD,Normal,RL,one,finished,210000,8
219,4,15660,269,2,7,9,1954,WD,Normal,RL,one_and_half,finished,311500,8
220,4,3010,0,2,7,5,1248,New,Partial,RL,one,finished,167240,5
221,4,8990,33,2,7,5,1498,New,Partial,RL,one,finished,204900,5
223,35,11475,208,3,6,6,1552,WD,Normal,RL,two,finished,179900,6
225,7,13472,105,2,10,5,2392,WD,Normal,RL,one,finished,386250,8
228,40,1869,0,2,6,6,987,WD,Normal,RM,two,finished,106000,5
229,43,8521,0,1,5,5,912,WD,Normal,RL,one,finished,125000,5
230,4,3182,20,2,7,5,1555,WD,Normal,RL,one,finished,192500,7
231,51,8760,120,1,6,6,1194,WD,Normal,RL,one,finished,148000,6
232,14,15138,348,3,8,5,2794,WD,Normal,RL,two,finished,403000,9
233,38,1680,0,2,6,5,987,WD,Normal,RM,two,finished,94500,5
234,34,10650,0,1,5,6,894,WD,Normal,RL,one,finished,128200,5
235,8,7851,48,3,6,5,1960,WD,Normal,RL,two,finished,216500,8
236,39,1680,0,2,6,3,987,WD,Normal,RM,two,finished,89500,5
237,6,8773,105,2,7,5,1414,WD,Normal,RL,one,finished,185500,6
238,7,9453,308,3,7,7,1744,WD,Normal,RL,two,finished,194500,7
239,3,12030,228,2,8,5,1694,New,Partial,RL,one,finished,318000,7
240,60,8741,140,2,6,4,1487,WD,Normal,RL,one_and_half,finished,113000,7
242,13,3880,42,1,5,9,866,WD,Normal,RM,one,finished,110500,4
243,60,5000,77,1,5,4,1440,WD,Normal,RM,one_and_half,finished,79000,6
244,30,10762,28,2,6,6,1217,WD,Normal,RL,two,finished,120000,6
245,8,8880,130,3,7,5,2110,WD,Normal,RL,two,finished,205000,8
246,22,10400,39,2,7,5,1872,WD,Normal,RL,one,finished,241500,6
247,60,9142,172,2,6,8,1928,WD,Normal,RM,two,finished,137000,9
248,56,11310,30,1,6,5,1375,WD,Normal,RL,one,finished,140000,5
249,7,11317,68,3,7,5,1668,WD,Normal,RL,two,finished,180000,8
250,4,159000,98,2,6,7,2144,WD,Normal,RL,one_and_half,finished,277000,7
251,44,5350,0,1,3,2,1306,WD,Normal,RL,one,finished,76500,6
253,6,8366,45,3,6,5,1640,WD,Normal,RL,two,finished,173000,6
255,53,8400,0,1,5,6,1314,WD,Normal,RL,one,finished,145000,5
256,11,8738,0,3,7,5,2291,WD,Normal,RL,two,finished,230000,8
259,9,12435,341,3,7,5,1792,WD,Normal,RL,two,finished,231500,7
260,54,12702,45,1,5,5,882,WD,Normal,RM,one,finished,97000,4
261,48,19296,252,1,6,5,1382,WD,Normal,RL,split,finished,176000,6
262,3,9588,148,3,8,5,2574,New,Partial,RL,two,finished,276000,10
263,15,8471,12,1,6,7,1212,WD,Normal,RL,split,finished,151000,6
264,9,5500,0,1,5,7,1316,WD,Normal,RM,one_and_half,finished,130000,6
265,6,5232,0,1,5,5,764,WD,Normal,RM,one,finished,73000,4
266,29,12090,0,2,6,6,1422,WD,Normal,RL,one,finished,175500,7
267,13,11207,75,3,6,5,1511,WD,Normal,RL,two,finished,185000,8
268,13,8400,24,3,5,8,2192,WD,Normal,RL,two_and_half,finished,179500,8
269,55,6900,25,1,5,6,778,WD,Normal,RM,one,finished,120500,4
270,34,7917,30,2,6,7,1113,WD,Normal,RL,one,finished,148000,6
272,5,39104,0,1,7,7,1363,WD,Normal,RL,one,finished,241500,5
273,3,11764,57,3,8,7,2270,WD,Normal,RL,two,finished,290000,9
274,22,9600,0,2,6,6,1632,WD,Normal,RL,one,finished,139000,6
275,28,8314,0,1,5,7,816,WD,Normal,RL,one,finished,124500,5
276,3,7264,144,3,7,7,1548,WD,Normal,RL,one_and_half,finished,205000,5
277,7,9196,150,2,7,5,1560,WD,Normal,RL,one,finished,201000,7
278,59,19138,0,1,4,5,864,WD,Normal,RL,one,finished,141000,4
279,3,14450,240,3,9,5,2121,New,Partial,RL,one,finished,415298,8
280,33,10005,117,3,7,5,2022,WD,Normal,RL,two,finished,192000,8
281,21,11287,280,3,7,6,1982,WD,Normal,RL,two,finished,228500,7
284,1,9612,150,2,8,5,1468,New,Partial,RL,one,finished,244600,6
285,18,8012,52,2,6,5,1575,WD,Normal,RL,one,finished,179200,5
287,29,9786,128,2,6,7,1734,WD,Normal,RL,one_and_half,finished,159000,7
288,39,8125,0,1,4,4,858,WD,Normal,RL,one,finished,88000,5
289,43,9819,0,1,5,5,900,WD,Normal,RL,one,finished,122000,5
290,7,8730,259,1,6,7,1396,WD,Normal,RL,two,finished,153575,7
291,4,15611,51,3,8,5,1919,New,Partial,RL,two,finished,233230,8
292,10,5687,184,2,5,6,1716,WD,Normal,RL,two,finished,135900,9
293,2,11409,160,2,5,4,1716,WD,Normal,RL,one_and_half,finished,131000,8
294,16,16659,250,3,7,7,2263,WD,Normal,RL,two,finished,235000,9
295,57,9600,0,1,6,5,1644,WD,Normal,RL,one,finished,167000,7
296,26,7937,0,1,6,6,1003,WD,Normal,RL,split,finished,142500,6
297,60,13710,0,2,5,5,1558,WD,Normal,RM,one_and_half,finished,152000,6
299,42,11700,0,3,6,6,1743,WD,Normal,RL,two,finished,175000,7
301,57,15750,0,1,5,5,1336,WD,Normal,RL,one,finished,157000,5
302,11,16226,50,3,8,5,2452,WD,Normal,RL,two,finished,267000,9
303,8,13704,81,2,7,5,1541,WD,Normal,RL,one,finished,205000,6
305,8,18386,0,3,7,9,3493,WD,Normal,RM,two_and_half,finished,295000,10
306,5,10386,0,2,8,5,2000,WD,Normal,RL,one,finished,305900,8
307,19,13474,268,3,7,5,2243,WD,Normal,RL,two,finished,225000,8
308,60,7920,144,1,6,7,1406,WD,Normal,RM,one_and_half,finished,89500,6
309,60,12342,0,1,4,5,861,WD,Normal,RL,one,finished,82500,4
310,6,12378,175,2,9,5,1944,WD,Normal,RL,one,finished,360000,8
311,16,7685,63,3,6,5,1501,WD,Normal,RL,two,finished,165600,6
312,8,8000,0,1,6,6,972,WD,Normal,RL,one,finished,132000,5
313,60,7800,271,1,5,7,1118,WD,Normal,RM,one_and_half,finished,119900,5
315,20,9600,234,2,7,7,1641,WD,Normal,RM,two,finished,178000,6
316,5,7795,51,3,7,5,1432,WD,Normal,RL,two,finished,188500,6
317,30,13005,195,3,7,7,2353,WD,Normal,RL,two,finished,260000,10
319,17,9900,204,3,7,5,2646,WD,Normal,RL,two,finished,260000,9
320,30,14115,48,2,7,5,1472,WD,Normal,RL,split,finished,187500,6
321,4,16259,154,4,9,5,2596,New,Partial,RL,two,finished,342643,9
322,6,12099,154,3,8,5,2468,WD,Normal,RL,two,finished,354000,10
323,23,10380,96,3,7,5,2730,WD,Normal,RL,two,finished,301000,8
324,5,5820,98,1,3,8,1163,WD,Normal,RM,one,finished,126175,6
325,3,11275,0,3,7,7,2978,WD,Normal,RL,split,finished,242000,11
326,60,5000,244,1,5,6,803,WD,Normal,RM,one_and_half,unfinished,87000,5
328,50,11600,45,2,6,5,1383,WD,Normal,RL,one,finished,145250,7
329,16,11888,328,2,6,6,2134,WD,Normal,RL,two_and_half,unfinished,214500,10
330,60,6402,137,1,5,5,1192,WD,Normal,RM,two,finished,78000,6
331,46,10624,0,2,5,4,1728,WD,Normal,RL,one,finished,119000,10
332,18,8176,0,1,5,6,1056,WD,Normal,RL,one,finished,139000,6
333,6,10655,0,2,8,5,1629,WD,Normal,RL,one,finished,284000,7
334,6,8198,30,2,7,5,1358,WD,Normal,RM,one,finished,207000,6
335,12,9042,38,3,6,5,1638,WD,Normal,RL,two,finished,192000,7
336,45,164660,0,2,5,6,1786,WD,Normal,RL,one_and_half,finished,228950,7
337,4,14157,51,2,9,5,1922,WD,Normal,RL,one,finished,377426,8
338,7,9135,74,2,7,5,1536,WD,Normal,RL,one,finished,214000,7
339,12,14145,45,2,7,7,1621,WD,Normal,RL,one,finished,202500,8
340,12,12400,234,1,6,7,1215,WD,Normal,RL,one,finished,155000,6
341,8,14191,0,3,8,5,1908,WD,Normal,RL,two,finished,202900,9
342,60,8400,24,1,4,4,841,WD,Normal,RH,one,finished,82000,4
343,60,8544,0,2,3,4,1040,WD,Normal,RL,one,finished,87500,6
344,5,8849,72,2,9,5,1684,WD,Normal,RL,one,finished,266000,6
345,34,2592,0,2,5,3,1112,WD,Normal,RM,two,finished,85000,4
346,60,6435,0,1,6,5,1577,WD,Normal,RL,one_and_half,finished,140200,6
347,12,12772,0,1,6,8,958,WD,Normal,RL,one,finished,151500,5
348,50,17600,40,2,6,5,1478,WD,Normal,RL,one,finished,157500,6
349,6,2448,27,3,7,5,1626,WD,Normal,RL,two,finished,154000,6
350,4,20431,0,3,9,5,2728,New,Partial,RL,two,finished,437154,10
351,3,7820,54,2,9,5,1869,New,Partial,RL,one,finished,318061,6
354,7,8520,0,1,6,8,720,WD,Normal,RM,one,finished,105900,5
355,10,8400,108,1,6,5,1595,WD,Normal,RL,one_and_half,finished,140000,6
356,15,11249,26,2,6,5,1200,WD,Normal,RL,one,finished,177500,6
357,18,9248,26,2,6,6,1167,WD,Normal,RL,one,finished,173000,6
358,34,4224,90,2,5,5,1142,WD,Normal,RM,one,finished,134000,6
360,12,12011,449,3,8,5,1924,WD,Normal,RL,two,finished,280000,7
361,32,7540,192,1,6,6,912,WD,Normal,RL,split,finished,156000,5
362,28,9144,0,1,5,5,1505,WD,Normal,RL,one_and_half,finished,145000,8
